mcc,mnc,tac,cid,lat,lon
404,5,221,2171,20.913162231445,70.380477905273
404,5,2312,12805,21.126022338867,70.123672485352
404,69,441,40912,19.039993286133,73.019943237305
404,45,25033,53132,12.903442,77.543466
404,10,310,27942,28.601303,77.236404
404,42,52400,38596,12.259859,79.679031
404,58,6043,60092,21.871719,83.377304
404,86,32602,2221,15.444031,75.004349
404,93,1103,61337,21.874465942383,83.371810913086
404,45,61005,1343,12.249069213867,76.274642944336
404,45,61111,45842,12.960433959961,77.572402954102
404,45,61011,10533,12.900009155273,77.62321472168
404,45,61011,63271,12.900009155273,77.62321472168
404,45,61011,31111,12.861557006836,77.580642700195
404,45,61011,43892,12.894515991211,77.616348266602
404,46,101,10051,10.006484985352,76.303482055664
404,45,61011,63761,12.861557006836,77.580642700195
404,56,609,3183,27.973251342773,78.189010620117
404,97,119,11061,28.787612915039,78.984146118164
404,56,395,50743,28.808212280273,79.040451049805
404,7,47,56846,16.439438,80.96489
404,7,47,56845,16.430283,80.977707
404,7,47,25611,16.430283,80.988693
405,805,108,58583,19.173202514648,72.941665649414
405,805,109,55461,19.081192016602,72.918319702148
405,805,108,59162,19.171829223633,72.951278686523
405,805,108,61713,19.159469604492,72.945785522461
405,805,108,60292,19.163589477539,72.940292358398
405,805,108,58861,19.121704,72.899094
405,805,109,13452,19.097671508789,72.927932739258
405,805,101,55963,18.947983,72.821732
405,805,101,51692,18.94660949707,72.831802368164
405,805,101,55961,18.950729370117,72.82356262207
405,805,102,20433,19.018020629883,72.83317565918
405,805,102,34002,19.002914,72.855148
405,805,102,31072,18.989181518555,72.82356262207
405,805,101,62993,18.965835571289,72.838668823242
405,805,102,11853,19.04411315918,72.824935913086
405,805,101,62221,18.95622253418,72.800216674805
405,805,102,24983,19.018020629883,72.859268188477
405,805,102,31163,18.998794555664,72.81120300293
405,805,101,61122,18.947982788086,72.834548950195
405,805,102,32101,19.001541137695,72.818069458008
405,805,102,11782,18.994674682617,72.822189331055
405,805,101,62991,18.965835571289,72.838668823242
405,805,102,32622,19.009780883789,72.842788696289
405,805,101,61681,18.96858215332,72.826309204102
405,805,102,35483,19.011154174805,72.820816040039
404,22,10175,37,20.892562866211,74.776382446289
